tc_name,lifetime,commit frequency
module-client/src/test/java/org/apache/http/client/methods/TestHttpOptions.java,472,28.0
httpclient-cache/src/test/java/org/apache/http/impl/client/cache/TestDefaultCacheEntrySerializer.java,62,11.0
httpclient/src/test/java/org/apache/http/client/protocol/TestUriEscapes.java,1256,66.0
module-client/src/test/java/org/apache/http/auth/TestAllAuth.java,177,177.0
httpclient/src/test/java/org/apache/http/impl/cookie/TestPublicSuffixListParser.java,2424,74.0
httpclient/src/test/java/org/apache/http/client/protocol/TestResponseAuthCache.java,879,14.0
httpclient/src/test/java/org/apache/http/impl/execchain/TestRedirectExec.java,803,41.0
httpclient/src/test/java/org/apache/http/impl/conn/TestDefaultRoutePlanner.java,1056,40.0
httpclient-cache/src/test/java/org/apache/http/impl/client/cache/TestProtocolDeviations.java,1987,13.0
module-client/src/test/java/org/apache/http/conn/TestAllConn.java,501,15.0
module-client/src/test/java/org/apache/http/impl/cookie/TestRFC2109CookieAttribHandlers.java,650,61.5
module-client/src/test/java/org/apache/http/conn/routing/TestRouteTracker.java,405,90.0
httpclient-cache/src/test/java/org/apache/http/client/cache/impl/TestConditionalRequestBuilder.java,11,5.5
httpclient/src/test/java/org/apache/http/impl/client/TestDefaultServiceUnavailableRetryStrategy.java,116,116.0
httpclient/src/test/java/org/apache/http/conn/ssl/TestDistinguishedNameParser.java,1,1.0
httpclient/src/test/java/org/apache/http/impl/client/TestBasicAuthCache.java,1105,107.0
httpclient/src/test/java/org/apache/http/impl/auth/TestStandardHttpScheme.java,18,18.0
module-client/src/test/java/org/apache/http/impl/cookie/TestAllCookieImpl.java,529,81.0
httpclient/src/test/java/org/apache/http/impl/client/TestAbortHandling.java,9,9.0
httpclient/src/test/java/org/apache/http/impl/execchain/TestServiceUnavailableRetryExec.java,802,116.0
httpclient-cache/src/test/java/org/apache/http/impl/client/cache/TestRFC5861Compliance.java,1771,21.5
module-client/src/test/java/org/apache/http/client/protocol/TestCookie2Support.java,511,88.0
httpclient-cache/src/test/java/org/apache/http/impl/client/cache/TestResponseCache.java,186,7.0
module-client/src/test/java/org/apache/http/impl/conn/TestProxySelRoutePlanner.java,391,195.5
httpclient-cache/src/test/java/org/apache/http/impl/client/cache/TestURIExtractor.java,216,47.5
httpclient-cache/src/test/java/org/apache/http/impl/client/cache/ehcache/TestProtocolRequirementsWithDeprecatedSerializer.java,0,0.0
httpclient-cache/src/test/java/org/apache/http/impl/client/cache/TestCacheEntryUpdater.java,1987,50.5
httpclient/src/test/java/org/apache/http/impl/conn/ClientConnAdapterMockup.java,948,474.0
httpclient/src/test/java/org/apache/http/localserver/RandomHandler.java,2424,161.5
httpclient-cache/src/test/java/org/apache/http/impl/client/cache/TestCombinedEntity.java,1895,363.0
module-client/src/test/java/org/apache/http/impl/client/TestBasicCredentialsProvider.java,589,195.0
httpclient-cache/src/test/java/org/apache/http/impl/client/cache/TestProtocolAllowedBehavior.java,1909,73.0
httpclient/src/test/java/org/apache/http/impl/client/integration/TestRedirects.java,1168,15.0
httpclient/src/test/java/org/apache/http/client/entity/TestEntityBuilder.java,1103,267.0
httpclient/src/test/java/org/apache/http/client/utils/TestDateUtils.java,930,326.0
httpclient-cache/src/test/java/org/apache/http/client/cache/TestHttpCacheJiraNumber1147.java,21,21.0
module-client/src/test/java/org/apache/http/cookie/TestCookiePolicy.java,650,148.5
httpclient/src/test/java/org/apache/http/impl/client/TestClientAuthenticationFallBack.java,309,154.5
module-client/src/test/java/org/apache/http/impl/client/TestRequestWrapper.java,468,85.5
httpclient-cache/src/test/java/org/apache/http/client/cache/impl/TestCachedResponseSuitabilityChecker.java,11,5.5
httpclient/src/test/java/org/apache/http/impl/execchain/TestRetryExec.java,802,69.5
httpclient/src/test/java/org/apache/http/impl/auth/TestDigestScheme.java,2424,54.0
httpclient/src/test/java/org/apache/http/auth/TestCredentials.java,2424,98.0
httpclient/src/test/java/org/apache/http/impl/conn/tsccm/TestDumbHelpers.java,103,103.0
httpclient/src/test/java/org/apache/http/conn/params/TestRouteParams.java,1343,287.0
httpclient/src/test/java/org/apache/http/impl/client/TestClientReauthentication.java,303,95.0
httpclient/src/test/java/org/apache/http/impl/conn/Helper.java,1256,628.0
module-httpmime/src/test/java/org/apache/http/client/mime/TestMultipartForm.java,8,0.5
httpclient/src/test/java/org/apache/http/impl/conn/TestLocalServer.java,1256,209.0
httpclient/src/test/java/org/apache/http/client/async/HttpClientWithFutureTest.java,56,6.0
module-client/src/test/java/org/apache/http/impl/cookie/TestCookieRFC2965Spec.java,514,68.0
